Case_ID,Dice_ET,Dice_TC,Dice_WT
BRATS_368,0.9297374910260012,0.9542320790763352,0.9473846305467268
BRATS_051,0.8818159980783089,0.9400393771254698,0.9421560253103671
BRATS_130,0.8800011668781633,0.9613515623032958,0.8852938916945322
BRATS_141,0.4043243243243243,0.7845236646794014,0.924257837787848
BRATS_337,0.9391658485145995,0.9766625298907285,0.9710642428906896
BRATS_331,0.7847222222222222,0.7238376111699921,0.8470928255695341
BRATS_265,0.0,0.9499340649516104,0.9348960959376963
BRATS_329,0.0,0.6049666868564506,0.9112490380432964
BRATS_166,0.9509442350635048,0.9722349757146654,0.9577805023678105
BRATS_149,0.8685279794448926,0.8873599759219721,0.9231161151617846
BRATS_289,0.0,0.6080938163243282,0.9481725509073313
BRATS_025,0.901261321331333,0.9698262561212853,0.9269632361721041
BRATS_321,0.0,0.7713411706607772,0.956185668033333
BRATS_092,0.936085072863332,0.9556737798736922,0.940689815893731
BRATS_018,0.7415506958250497,0.7646346386758175,0.7974054496724241
BRATS_243,0.791269728423148,0.8540279836217941,0.9347376683662594
BRATS_221,0.9045849598297753,0.9128817285775506,0.9662020960671245
BRATS_065,0.8711433756805808,0.9308836395450568,0.8099488690527775
BRATS_180,0.9378304856802274,0.9594761352573126,0.8126111869321169
BRATS_006,0.8101571089122956,0.9234910542315458,0.9299686066167593
BRATS_123,0.8927124753799844,0.931482241839458,0.9604464692156321
BRATS_091,0.9557805232252226,0.9720804769513599,0.9029363108517716
BRATS_332,0.8378099173553719,0.210840108401084,0.9454609429978889
BRATS_034,0.8378402223300543,0.9404014838955725,0.9460766205263044
BRATS_075,0.7757264753266901,0.9611889370895561,0.95521650400522
BRATS_307,0.0,0.89533255602002,0.9305313519288171
BRATS_239,0.7836739875587152,0.8115836444768236,0.9190561147204362
BRATS_061,0.8138454390583862,0.9197086040559165,0.8743057916808342
BRATS_038,0.8215977265550994,0.9055593128635195,0.9122135875660952
BRATS_175,0.9090071870819203,0.9317095951431548,0.9511879987503111
BRATS_068,0.8468694825478745,0.9101865047400707,0.9382496244426252
BRATS_121,0.9482160832121687,0.9818895261092665,0.9771769638942573
BRATS_310,0.0,0.8714326723610306,0.9289235033064954
BRATS_079,0.7277406073082862,0.8308754314402259,0.8201160541586073
BRATS_200,0.8888888888888888,0.889894419306184,0.9328701014815676
BRATS_240,0.660399209755433,0.8586884492108786,0.8976859358534763
BRATS_148,0.7748698959167334,0.7121772824241369,0.9020590270321858
BRATS_328,0.518000699056274,0.6840074388323137,0.9020463445691084
BRATS_182,0.9181421016325592,0.9363202077825704,0.9174461577672997
BRATS_250,0.8004870412245608,0.5006084433211645,0.9161119716894918
BRATS_267,0.8747350358332492,0.33409617874672526,0.8870447578580596
BRATS_324,0.0,0.506015538290788,0.9393375730617947
BRATS_227,0.8185460789925587,0.8423748970816942,0.8498168498168498
BRATS_043,0.6334047943870591,0.8455343539142421,0.8406508191636354
BRATS_249,0.9122415351087014,0.8985273350817027,0.8853228298971015
BRATS_211,0.9100897271561985,0.9659063431933586,0.9372003515471103
BRATS_266,0.0,0.8086269267065115,0.9458028448497916
BRATS_017,0.8481708078411787,0.8735913591359136,0.9281043242957966
BRATS_071,0.7996766079770032,0.7544785970205544,0.9163676511178581
BRATS_030,0.8125923047026817,0.8416195489699096,0.8375440861821499
BRATS_263,0.0,0.3029956115245182,0.8771156349863889
BRATS_060,0.8474596011064202,0.9556910224931561,0.9274043457584529
BRATS_361,0.0,0.04650582881366498,0.9485735595748648
BRATS_041,0.764930734405075,0.8999798983430491,0.9450704293786958
BRATS_016,0.6461438593863131,0.8000172349409703,0.9192414858934876
BRATS_147,0.20601326187664637,0.622330585751358,0.8972910783390858
BRATS_118,0.9521612433220009,0.9694001260850589,0.9652391306430138
BRATS_049,0.8825824217853592,0.9537268305508084,0.9134758888819213
BRATS_203,0.8946886446886447,0.9311335896383114,0.8978556159124079
BRATS_125,0.9522308360407887,0.957807378478276,0.9710685578561747
BRATS_253,0.7875054277029961,0.9403175556473106,0.9549138226229883
BRATS_111,0.9237956037027484,0.964389209794426,0.9446700281111954
BRATS_109,0.9506698607044628,0.9750930935150706,0.9516042930281507
BRATS_287,0.9129321887059936,0.9152894746115086,0.9695396997557094
BRATS_158,0.5664395229982965,0.7679420421100295,0.8142023931212795
BRATS_161,0.8609694345576634,0.9237020747681423,0.9613666376331095
BRATS_090,0.9289489136817382,0.9723935878808089,0.9350438105175932
BRATS_190,0.8600666349357449,0.856536189069424,0.9240747558308249
BRATS_139,0.8882739536492563,0.9142796520263102,0.8844468654524785
BRATS_294,0.0,0.750330617294484,0.9292856199353331
BRATS_015,0.8687554776511832,0.7821795657205092,0.9469483399113073
BRATS_248,0.8928053753098796,0.9582130813865176,0.9353794361060457
BRATS_165,0.9292796157169427,0.9497226926607284,0.9623527303060176
BRATS_314,0.8876070617024996,0.8420451299628677,0.7785810616612501
BRATS_005,0.789247955316178,0.8743814236771983,0.7813730248611336
BRATS_150,0.9549637915562327,0.9639400768924831,0.954090391446977
BRATS_299,0.5292171995589857,0.9497941846207743,0.9499505764640374
BRATS_088,0.8045263734258077,0.9011728338939904,0.8501390311722523
BRATS_354,0.9253411781088985,0.9556781594658825,0.9575358708410185
BRATS_242,0.852619909354723,0.9011923091605482,0.8818325383524559
BRATS_297,1.0,0.585425842246754,0.6730388751615768
BRATS_047,0.8598702364083824,0.9436315237557473,0.8969094149978474
BRATS_362,0.9262863254069897,0.9658879891465638,0.9702008067959494
BRATS_122,0.9478514810179391,0.9698043035508722,0.9632257086554494
BRATS_144,0.9391398737919917,0.9408971495202372,0.9404553544759079
BRATS_309,0.6609090909090909,0.7919777650728239,0.9123628314731657
BRATS_115,0.9642831833321522,0.9794466603998883,0.9658167806482869
BRATS_152,0.9603327250908255,0.977256946299046,0.970646951297352
BRATS_093,0.9483289170014532,0.9561947486475788,0.9680275658278789
BRATS_326,0.22220095693779904,0.6456356275303644,0.9006530704775524
BRATS_024,0.8117269116940278,0.8569374263516347,0.8877130261224311
BRATS_226,0.9331057188147787,0.9546885610222853,0.9427282393172217
BRATS_343,0.9161328153631899,0.950056621369571,0.9420864723537139
BRATS_312,0.0,0.7652059775352097,0.8968358440401212
