Case_ID,Dice_ET,Dice_TC,Dice_WT
BRATS_368,0.9375345155550101,0.9560475694634735,0.9612672249119982
BRATS_051,0.8828706838185512,0.942157590146906,0.9407750645614723
BRATS_130,0.892563705644201,0.9659066159593895,0.875117057917877
BRATS_141,0.36281179138321995,0.5366205074841911,0.9177505738332058
BRATS_337,0.9271266278747575,0.9754603707222413,0.9787071534195113
BRATS_331,0.7178746751371643,0.674051981252663,0.843124978848692
BRATS_265,0.0,0.9289223643486354,0.9300547957821061
BRATS_329,0.0,0.4914274453130132,0.9125316944570383
BRATS_166,0.9400673127610397,0.9713152761344377,0.9564099759352439
BRATS_149,0.8520838165932112,0.8803159740356636,0.9279053838430225
BRATS_289,0.0,0.6217370180062131,0.9536968909682297
BRATS_025,0.8951301634228463,0.9667100959876626,0.9220363351195923
BRATS_321,1.0,0.7891036406592469,0.9389938211485958
BRATS_092,0.9381780399107661,0.9605543341889294,0.9430539306958428
BRATS_018,0.6380368098159509,0.5685850281263523,0.7953216374269005
BRATS_243,0.7872850296024809,0.8491207034372502,0.9393204864056882
BRATS_221,0.8998965906242166,0.9146438409347211,0.9632732549500647
BRATS_065,0.859551455384126,0.8825507246376811,0.810621225341751
BRATS_180,0.9365047770700637,0.9587907657573841,0.8598991697497926
BRATS_006,0.8097050766658366,0.9267841236421688,0.9333879939672713
BRATS_123,0.8879604178119846,0.9292578648458937,0.9590200685091196
BRATS_091,0.9263838278674301,0.9650167988639119,0.8976428286056732
BRATS_332,0.7990613083015548,0.21473927265730228,0.9644238935547796
BRATS_034,0.8383812346951927,0.9419724770642202,0.9469543631850296
BRATS_075,0.7613706572881517,0.9576058785604188,0.9533932678235417
BRATS_307,0.004132231404958678,0.9011705031181227,0.9284041544003109
BRATS_239,0.8177777777777778,0.7859731609364287,0.9240171423059433
BRATS_061,0.7930656434151021,0.9300567107750473,0.9187260536398467
BRATS_038,0.8006677289627437,0.8546216809742464,0.9064181000237839
BRATS_175,0.9108953314723914,0.9345596808042076,0.952198987310256
BRATS_068,0.8386176704696205,0.9105411706957909,0.9387625712270469
BRATS_121,0.934053220208253,0.9736287707869533,0.9810606320439563
BRATS_310,0.0,0.8373877629941148,0.9287640211959721
BRATS_079,0.6512558346299178,0.8617934300088783,0.7927555408534568
BRATS_200,0.8867355727820844,0.8946723821187997,0.9363275191739786
BRATS_240,0.6347222222222222,0.8684202826462241,0.8892054895483396
BRATS_148,0.6942732205890101,0.7574948233952525,0.8467720517344879
BRATS_328,0.15416141235813366,0.7167482310401796,0.9254203632309908
BRATS_182,0.9111098648421289,0.9389340560072268,0.9294207374251384
BRATS_250,0.6986964618249535,0.18544034090909092,0.887362400836357
BRATS_267,0.8035482475118996,0.5645019560637978,0.8782584284683047
BRATS_324,1.0,0.23595426807883846,0.933729219732023
BRATS_227,0.7605735630798891,0.8348128489063787,0.8328139890991252
BRATS_043,0.6420129622569577,0.8365823610406551,0.8177597729020049
BRATS_249,0.9105894238694069,0.8961798435482646,0.8870676352139711
BRATS_211,0.8843957400833462,0.9582626076748576,0.9344738618827161
BRATS_266,0.0,0.7805060696831152,0.9444513673878243
BRATS_017,0.796691537972121,0.8731422505307855,0.9276626577240075
BRATS_071,0.8211322066298823,0.7648158971361777,0.9178091472352586
BRATS_030,0.789500621481319,0.828186058237741,0.8538665527427699
BRATS_263,0.0,0.23941887806516626,0.890446735395189
BRATS_060,0.8390738724282194,0.9460482725982016,0.9309185743262822
BRATS_361,0.10023866348448687,0.03746592822792062,0.9547755716570998
BRATS_041,0.7636154541222858,0.8942936256458566,0.9441212232777372
BRATS_016,0.6334726601647479,0.8076513138260832,0.922727463608495
BRATS_147,0.16590718869152796,0.4792828564500485,0.863503661030709
BRATS_118,0.937875044122838,0.9608827429437393,0.9598458202842689
BRATS_049,0.8704955791663571,0.9539375928677564,0.915475785239053
BRATS_203,0.8578208232445521,0.9074160699507035,0.9173058724644837
BRATS_125,0.9286541579800788,0.9451346618861002,0.9748077872260078
BRATS_253,0.7878180291001707,0.9426593157728648,0.9578748240939396
BRATS_111,0.9176779463243874,0.9617863088825777,0.9480228910650641
BRATS_109,0.9054390480610996,0.9282055532532117,0.9396919396429166
BRATS_287,0.9218908184720817,0.9142341366549328,0.9710990859528587
BRATS_158,0.6537088456961523,0.7410954803950913,0.8056811043527555
BRATS_161,0.8559953686952746,0.9236668323510616,0.9581041764429845
BRATS_090,0.9133601851058359,0.965821901883283,0.9282399462806834
BRATS_190,0.8469658219018833,0.8392020350783237,0.9187930634863777
BRATS_139,0.8871078543622625,0.9070457101953165,0.8760863470703673
BRATS_294,0.0,0.7323108916038471,0.9447868805687147
BRATS_015,0.8527391874180865,0.8121761235863507,0.9502959333036339
BRATS_248,0.8932483867887204,0.9555587494421205,0.9322488449317422
BRATS_165,0.9197482180324698,0.9480934681464923,0.9623590217521522
BRATS_314,0.891112618724559,0.8341193909176661,0.7811433073623392
BRATS_005,0.7652865772800943,0.8438604579683417,0.7518411253620191
BRATS_150,0.9618181818181818,0.9654493307839388,0.9532653672347144
BRATS_299,0.46867749419953597,0.9548552242279179,0.9662022508024232
BRATS_088,0.8244042391240705,0.9076372631299969,0.8517418700659086
BRATS_354,0.9366233498349835,0.9638117521713471,0.9583085079678082
BRATS_242,0.8324002419317318,0.8817268034871947,0.8680610532315779
BRATS_297,1.0,0.6094473602963878,0.7540114436257358
BRATS_047,0.8567048667956542,0.940685261015422,0.8879919683611961
BRATS_362,0.9072039894871622,0.9584842764086603,0.9634976801692301
BRATS_122,0.9346654397265677,0.9635564745412252,0.9612702181332542
BRATS_144,0.9402846712334386,0.942342746571693,0.935043051388943
BRATS_309,0.7375314861460958,0.8007128372150187,0.9076275651504303
BRATS_115,0.9564791491743633,0.9764711784478002,0.965320488653053
BRATS_152,0.9600609706659748,0.9780401817950134,0.9608397321601078
BRATS_093,0.9424688220216684,0.9544366092513996,0.9703696130054701
BRATS_326,0.2724874070520509,0.5804591854037372,0.9165697711836409
BRATS_024,0.8296190499642936,0.8722177710902234,0.8957164183983698
BRATS_226,0.9282696275916282,0.9542608022916644,0.9380665527527585
BRATS_343,0.9110322398610018,0.9468197600353037,0.9433120588604478
BRATS_312,0.0,0.7692472920310535,0.9017742072178174
BRATS_140,0.8862366960793232,0.9463327370304114,0.9537697684308473
BRATS_286,0.0,0.5689966293282489,0.8938460856851712
BRATS_009,0.7052231673516199,0.8487108063709735,0.900730376349499
BRATS_120,0.888841537040983,0.968879274355763,0.973352369254329
BRATS_176,0.7383122028526149,0.8584840562526119,0.9675360054773648
BRATS_260,0.8136119025007914,0.6930592564395381,0.8051020787624112
BRATS_192,0.935110322883522,0.9734100282179292,0.9488387556399905
BRATS_136,0.8243654822335026,0.8679137976560437,0.8776872977579435
BRATS_167,0.8266337137457295,0.8855378540041425,0.9291825279050261
BRATS_163,0.8670769031113803,0.940877377152202,0.9689596181673747
BRATS_019,0.8017501917091434,0.9199184999871044,0.9077423676906881
BRATS_168,0.851923051250217,0.9109926767357498,0.9372697666969195
BRATS_247,0.9312962317493513,0.9511351086022825,0.9203106796116505
BRATS_202,0.9039048317948322,0.9372694569748187,0.9575456824584528
BRATS_225,0.8372193459159593,0.9433722955569166,0.9586232793368317
BRATS_186,0.9316291460760987,0.9557884282803377,0.921017932015708
BRATS_110,0.9073325127483735,0.8885240518798226,0.7557775940768429
BRATS_131,0.89086859688196,0.8768537128578413,0.9256713310266695
BRATS_151,0.9364652502517175,0.9669900147168199,0.9699040671262893
BRATS_174,0.931306670984456,0.9530647235319332,0.9765258707848982
BRATS_334,0.8538028575552028,0.8429930990934104,0.9626227549382025
BRATS_245,0.8569090122922972,0.9018861814943738,0.9027708124373119
BRATS_039,0.8798605731990705,0.9373571822551414,0.911190069182784
BRATS_316,0.530703386676591,0.6776957387294308,0.9031087629756039
BRATS_208,0.8617874396135266,0.9129395157224551,0.9536182445496266
BRATS_112,0.9580104712041885,0.9823304053955629,0.9676001629458779
BRATS_256,0.8277287798853583,0.9231451494784123,0.9388988506422882
BRATS_199,0.8942124095438281,0.933372550667395,0.9633430736702064
BRATS_259,0.8429929723026044,0.27276610285323766,0.9665385665385665
BRATS_029,0.8762205896029015,0.9440221147201106,0.9367098891813721
BRATS_011,0.7722222222222223,0.9117494457808594,0.9170593697657667
BRATS_002,0.8431357069550801,0.95383360010043,0.9029339222209476
BRATS_187,0.8846004905124565,0.9362359628066109,0.9615453816837595
BRATS_096,0.8939823008849558,0.9444542126884161,0.9709570054256144
BRATS_036,0.8265792610250298,0.8808467053601912,0.875141101216606
BRATS_262,0.0,0.6385061638868745,0.9007701356060102
BRATS_185,0.8908823529411765,0.9418907198612315,0.9427717505345122
BRATS_085,0.6306462821403752,0.834876812860388,0.9123171281434835
BRATS_283,0.8128751210067764,0.7027254631756239,0.9574549804119525
BRATS_270,0.9722711999733856,0.9819039319218742,0.9642074456519864
BRATS_035,0.8030152388871816,0.8707990061462011,0.8804998765897193
BRATS_196,0.9426848049281314,0.9550508452119378,0.933435621242485
BRATS_357,0.8497347081789969,0.8837217811276572,0.9352460383653044
BRATS_172,0.9367957935400794,0.9521561724937995,0.9541509188062036
BRATS_021,0.6776991554439625,0.899905974869647,0.7979397888418748
BRATS_087,0.32558139534883723,0.5506237800220657,0.28333813133736363
BRATS_235,0.9083941056765723,0.9584483466165576,0.962605285349969
BRATS_073,0.843623112961999,0.9520323523334415,0.9215262116260874
BRATS_189,0.951657714391554,0.9662636400978694,0.9450183093062897
BRATS_137,0.8594213695150398,0.9336634889191532,0.9395648370465501
BRATS_107,0.9585892819317942,0.9601405083670781,0.9484664840545566
BRATS_317,0.8855774348057477,0.7952971199416697,0.942718241386599
BRATS_040,0.8861319203361959,0.9545603207258533,0.934689138059847
BRATS_193,0.887114219786559,0.9468037798777098,0.9491950290801013
BRATS_077,0.8757797831748532,0.9480245977592452,0.9337904687270412
BRATS_103,0.9100707495025425,0.9594208608293116,0.9335583803646466
BRATS_157,0.9458828062907926,0.9593698258993527,0.9430013991118681
BRATS_095,0.8895528236273693,0.9023398082744702,0.9741813873847084
BRATS_217,0.9202241349430997,0.9156953333615903,0.8910524294653144
BRATS_081,0.8108353167856738,0.9348699048352495,0.9383057376285298
BRATS_214,0.9138540100031478,0.9378951283004835,0.9714922229059337
BRATS_062,0.9047127516985318,0.9628113535431551,0.9446377214169329
BRATS_322,0.2672413793103448,0.9216039307408841,0.9647108986658588
BRATS_082,0.8089989773889331,0.90385073441842,0.805153135634419
BRATS_113,0.7492644655116051,0.6514803550369312,0.9644464498513299
BRATS_052,0.8704286099379999,0.9480060575466935,0.9167576837098207
BRATS_369,0.9235541369776799,0.9210386935412682,0.9663174098390301
BRATS_089,0.9640152040618151,0.9650480623571213,0.798921320073832
BRATS_356,0.9062975506798213,0.9473161193120803,0.9087035983587708
BRATS_207,0.7830916517191451,0.8589656729900632,0.9038251366120219
