Case_ID,HD95_WT,HD95_TC,HD95_ET
BRATS_298,2.23606797749979,373.13,373.13
BRATS_275,63.35613624582863,21.75200985385339,373.13
BRATS_282,2.23606797749979,14.352700094407323,9.219544457292887
BRATS_286,5.0,7.8421287749592326,373.13
BRATS_273,13.601470508735444,5.196152422706632,31.448370387032774
BRATS_258,3.0,2.8284271247461903,1.0
BRATS_265,2.23606797749979,2.23606797749979,373.13
BRATS_288,5.830951894845301,9.35938891481655,1.4142135623730951
BRATS_234,2.23606797749979,3.7416573867739413,4.242640687119285
BRATS_237,5.0,2.23606797749979,1.4142135623730951
BRATS_239,7.54983443527075,4.898979485566356,2.23606797749979
BRATS_226,2.449489742783178,1.4142135623730951,1.4142135623730951
BRATS_277,103.24727599312246,105.62362422726306,56.826489151872245
BRATS_227,9.9498743710662,3.0,2.449489742783178
BRATS_246,3.0,4.0,2.449489742783178
BRATS_232,2.449489742783178,13.341664064126334,31.0
BRATS_241,2.0,2.0,2.0
BRATS_274,9.16515138991168,13.19090595827292,5.477225575051661
BRATS_290,6.48074069840786,1.4142135623730951,3.3166247903554
BRATS_281,3.0,15.066519173319364,373.13
BRATS_257,1.4142135623730951,2.8284271247461903,2.23606797749979
BRATS_262,3.1622776601683795,9.055385138137417,373.13
BRATS_255,1.4142135623730951,1.7320508075688772,1.7320508075688772
BRATS_249,8.48528137423857,2.23606797749979,2.0
BRATS_261,3.0,9.0,16.401219466856727
BRATS_270,1.0,1.0,1.0
BRATS_256,3.4641016151377544,4.123105625617661,4.0
BRATS_264,2.23606797749979,4.69041575982343,373.13
BRATS_266,2.0,6.164414002968976,373.13
BRATS_272,3.0,9.273618495495704,373.13
BRATS_238,6.4031242374328485,2.23606797749979,7.0
BRATS_224,1.4142135623730951,2.0,1.4142135623730951
BRATS_276,4.242640687119285,1.4142135623730951,1.4142135623730951
BRATS_269,2.449489742783178,5.0,373.13
BRATS_260,35.52463933666322,7.3484692283495345,4.0
